Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
SOUTHWEST CORE REGIONAL OFFICE,9570,MADISON COUNTY PRIVATE SCHOOLS,9705,Private,Madison,5 Point Learning Academy,,Principal: Sherri Yetto,A,(731) 225-8672,,"K,1,2,3,4,5,6,7,8,9,10,11,12","203 Harts Bridge RD, Jackson, TN 38301",POINT (-83.9655958 36.0098153),-83.9655958,36.0098153
MID CUMBERLAND CORE REGIONAL OFFICE,9830,SUMNER COUNTY PRIVATE SCHOOL,9104,Private,Sumner,Aaron Academy,becky@aaronacademy.com,Principal: Becky  David Longoria,A,(615) 452-4700,,"K,1,2,3,4,5,6,7,8,9,10,11,12","650 Nashville Pike, 6A, Gallatin, TN 37075",POINT (-86.46132779999999 36.3835506),-86.46132779999999,36.3835506
MID CUMBERLAND CORE REGIONAL OFFICE,9630,MONTGOMERY COUNTY PRIVATE SCHOOLS,9005,Private,Montgomery,Academy For Academic Excellence,jackiecarey8@aol.com,Principal: Charlene Lollar,A,(931) 647-9831,(931) 647-9832,"K,1,2,3,4,5,6,7,8,9,10,11,12","303 Fairview LN, Clarksville, TN 37040",POINT (-87.3133591 36.5681619),-87.3133591,36.5681619
SOUTHWEST CORE REGIONAL OFFICE,550,MCNAIRY COUNTY,10,Public,McNairy,Adamsville High School,killingsworths@mcnairy.org,Principal: Mr. Steve Killingsworth,A,(731) 439-4122,,"9,10,11,12","815 West Main, Adamsville, TN 38310",POINT (-88.41622799999999 35.2226464),-88.41622799999999,35.2226464
EAST TENNESSEE CORE REGIONAL OFFICE,51,ALCOA,10,Public,Blount,Alcoa High School,rstone@alcoaschools.net,Principal: Rebecca Stone,A,(865) 982-4631,(865) 380-2240,"9,10,11,12","1205 Lodge ST, Alcoa, TN 37701",POINT (-83.98227109999999 35.7934729),-83.98227109999999,35.7934729
FIRST TENNESSEE CORE REGIONAL OFFICE,9320,HAMBLEN COUNTY PRIVATE SCHOOLS,9705,Private,Hamblen,AliYah Academy,aliyahacademy@gmail.com,Principal: Katherine Nemeth,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","1105 Clarence Lane, Morristown, TN 37879",POINT (-83.3139771 36.2156164),-83.3139771,36.2156164
EAST TENNESSEE CORE REGIONAL OFFICE,9780,SEVIER COUNTY PRIVATE SCHOOLS,9325,Private,Sevier,Alpha Educational Learning Center,cbratcher@smch.org,Principal: Charlene Bratcher,A,(865) 365-0366,(865) 428-2078,"5,6,7,8,9,10,11,12","449 McCarn CIR, Sevierville, TN 37862",POINT (-83.5630961 35.8614629),-83.5630961,35.8614629
UPPER CUMBERLAND CORE REGIONAL OFFICE,961,ALVIN C YORK INSTITUTE,5,State Special School,Fentress,Alvin C. York Institute,jtompkins@york.k12.tn.us,Principal: Jason Tompkins,A,(931) 879-8101,(931) 879-2147,"9,10,11,12","701 North Main ST, Jamestown, TN 38556",POINT (-84.9378947 36.4443999),-84.9378947,36.4443999
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,3,Public,Anderson,Anderson County Career  Technical Center,rherrell@acs.ac,Principal: Robbie Herrell,A,(865) 457-4205,(865) 457-1715,"9,10,11,12","140 Maverick CIR, Clinton, TN 37716",POINT (-84.0962145 36.1593117),-84.0962145,36.1593117
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,2,Public,Anderson,Anderson County High School,bdowns@acs.ac,Principal: Ben Downs,A,(865) 457-4716,(865) 457-3398,"9,10,11,12","130 Maverick CIR, Clinton, TN 37716",POINT (-84.0945016 36.1600443),-84.0945016,36.1600443
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9181,Private,Hamilton,Annoor Academy of Chattanooga,momani@annooracademy.org,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","5502 Brainerd RD, Chattanooga, TN 37411",POINT (-85.22033859999999 35.0091054),-85.22033859999999,35.0091054
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9380,Private,Knox,Antioch Baptist Christian Academy,administration@antiochbaptistchristianacademy.org,Principal: Nathaniel Morris,A,(865) 688-0780,,"K,1,2,3,4,5,6,7,8,9,10,11,12","5709 North Broadway, Knoxville, TN 37918",POINT (-83.92846089999999 36.0481666),-83.92846089999999,36.0481666
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9540,MCMINN COUNTY PRIVATE SCHOOLS,9785,Private,McMinn,Antioch Christian Academy,acaministries@yahoo.com,Principal: Amanda Fairman,A,(423) 506-5733,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1036 Hwy 39 E, Englewood, TN 37329",POINT (-84.532946 35.424808),-84.532946,35.424808
MID CUMBERLAND CORE REGIONAL OFFICE,190,DAVIDSON COUNTY,20,Public,Davidson,Antioch High School,Clarissa.Zellars@mnps.org,Principal: Clarissa Zellars,A,(615) 641-5400,,"9,10,11,12","1900 Hobson PIKE, Antioch, TN 37013",POINT (-86.5972707 36.0465363),-86.5972707,36.0465363
EAST TENNESSEE CORE REGIONAL OFFICE,9050,BLOUNT COUNTY PRIVATE SCHOOLS,9006,Private,Blount,Apostolic Christian Academy,acaprincipal@gmail.com,Principal: Cherie Johnson,A,(865) 984-0046,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1723 William Blount DR, Maryville, TN 37801",POINT (-84.04503199999999 35.7518691),-84.04503199999999,35.7518691
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9375,Private,Knox,Apostolic Christian School,acs@facknoxville.com,Principal: Carolyn Daniel,A,(865) 523-5261,(865) 544-0995,"K,1,2,3,4,5,6,7,8,9,10,11,12","5020 Pleasant Ridge RD, Knoxville, TN 37912",POINT (-83.99326339999999 35.9881681),-83.99326339999999,35.9881681
FIRST TENNESSEE CORE REGIONAL OFFICE,9822,KINGSPORT PRIVATE SCHOOLS,9008,Private,Sullivan,Apostolic Gospel Academy,,Principal: Sharon Street,A,(423) 245-6756,,"K,4,5,6,7,8,9,10,11,12","1780 Granby RD, Kingsport, TN 37660",POINT (-82.590435 36.570631),-82.590435,36.570631
FIRST TENNESSEE CORE REGIONAL OFFICE,9820,SULLIVAN COUNTY PRIVATE SCHOOLS,9725,Private,Sullivan,Appalachian Christian School,,Principal: Newl Dotson,A,(423) 288-3352,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1044 New Beason Well RD, Kingsport, TN 37660",POINT (-82.4877549 36.5616281),-82.4877549,36.5616281
MID CUMBERLAND CORE REGIONAL OFFICE,9110,CHEATHAM COUNTY PRIVATE SCHOOLS,9255,Private,Cheatham,ARCH Academy,Mary_Culver@cumberlandheights.org					,Principal: Mary Culver,A,(615) 432-3465,(615) 356-2700,"7,8,9,10,11,12","1062 Highway 70, Kingston Springs, TN 37082",POINT (-87.08505 36.1155422),-87.08505,36.1155422
SOUTHWEST CORE REGIONAL OFFICE,9794,BARTLETT PRIVATE SCHOOLS,9350,Private,Shelby,Archon Academy,patrick.baldoni@youthopportunity.com,Principal: Patrick Baldoni,A,(901) 531-1950,(901) 372-8946,"7,8,9,10,11,12","3030 Brunswick RD, Bartlett, TN 38133",POINT (-89.7671422 35.2077977),-89.7671422,35.2077977
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9700,Private,Shelby,Arete Christian School,aretechristianschool@gmail.com,Principal: Marcia L. White,A,(901) 729-6007,(901) 255-2119,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","538 East Holmes RD, Memphis, TN 38109",POINT (-90.04628199999999 35.0068259),-90.04628199999999,35.0068259
