Feature ID,Feature Label,Median Household Income,Median Earnings - Total,Per Capita Income,Total Population
country:us/state:tn/county:shelby,"Shelby County, TN",51657,31571,30104,936374
country:us/state:tn/county:van_buren,"Van Buren County, TN",42724,25704,20634,5760
country:us/state:tn/county:madison,"Madison County, TN",48161,30875,26722,97625
country:us/state:tn/county:clay,"Clay County, TN",32167,24781,18983,7654
country:us/state:tn/county:sequatchie,"Sequatchie County, TN",49370,27602,23050,14816
country:us/state:tn/county:marshall,"Marshall County, TN",53197,31943,25410,32965
country:us/state:tn/county:mcminn,"McMinn County, TN",43285,29126,23885,53053
country:us/state:tn/county:johnson,"Johnson County, TN",36004,23743,22107,17753
country:us/state:tn/county:wayne,"Wayne County, TN",41427,25794,20689,16693
country:us/state:tn/county:hamblen,"Hamblen County, TN",43619,28628,23517,64132
country:us/state:tn/county:polk,"Polk County, TN",43306,29837,25405,16814
country:us/state:tn/county:pickett,"Pickett County, TN",39554,24775,24907,5079
country:us/state:tn/county:trousdale,"Trousdale County, TN",56321,30670,24795,10231
country:us/state:tn/county:grundy,"Grundy County, TN",40516,26076,20592,13344
country:us/state:tn/county:morgan,"Morgan County, TN",41333,28862,20204,21545
country:us/state:tn/county:dekalb,"DeKalb County, TN",45511,32503,25399,19847
country:us/state:tn/county:monroe,"Monroe County, TN",42429,28607,23207,46064
country:us/state:tn/county:rhea,"Rhea County, TN",42206,25785,22336,32719
country:us/state:tn/county:greene,"Greene County, TN",42595,27709,25190,68834
country:us/state:tn/county:roane,"Roane County, TN",53367,30804,30209,53075
country:us/state:tn/county:henry,"Henry County, TN",40502,27095,24124,32284
country:us/state:tn/county:gibson,"Gibson County, TN",43171,29697,23211,49228
country:us/state:tn/county:macon,"Macon County, TN",37430,28116,22527,23842
country:us/state:tn/county:warren,"Warren County, TN",41125,27050,22802,40702
country:us/state:tn/county:decatur,"Decatur County, TN",42031,29088,23857,11686
country:us/state:tn/county:hickman,"Hickman County, TN",43596,28646,22856,24813
country:us/state:tn/county:smith,"Smith County, TN",48068,32183,28797,19740
country:us/state:tn/county:dickson,"Dickson County, TN",53076,32060,27115,52680
country:us/state:tn/county:lake,"Lake County, TN",35191,25293,15732,7401
country:us/state:tn/county:cumberland,"Cumberland County, TN",45958,27360,25832,59216
country:us/state:tn/county:crockett,"Crockett County, TN",44717,30311,23771,14399
country:us/state:tn/county:anderson,"Anderson County, TN",50392,30348,28455,76061
country:us/state:tn/county:dyer,"Dyer County, TN",44185,30274,27710,37416
country:us/state:tn/county:weakley,"Weakley County, TN",39937,25584,22755,33510
country:us/state:tn/county:fentress,"Fentress County, TN",36520,23495,20093,18213
country:us/state:tn/county:fayette,"Fayette County, TN",60711,37093,33383,40164
country:us/state:tn/county:washington,"Washington County, TN",48334,28221,29656,127805
country:us/state:tn/county:blount,"Blount County, TN",56667,31301,30548,129927
country:us/state:tn/county:carter,"Carter County, TN",38092,27337,23205,56433
country:us/state:tn/county:williamson,"Williamson County, TN",112962,50456,52702,225389
